Product Name,Old Price,New Price,Discount,Rating,Ratings Count
Men's Chest Bags Waterproof Casual Waist Bags Short Trip Travel Carry Bag,712.0,404,43%,3.6,64.0
Lenovo XT88 Bluetooth 5.3 Earbuds Earphones Headset,1999.0,1396,30%,4.1,182.0
Fashion 3PCS/SET Hip Hop Long Chain Men's Necklace Men's Pendant,262.0,134,49%,4.5,8.0
Fashion Men's Casual Shoes Waterproof Breathable Sneaker Board,2590.0,2190,15%,4.4,24.0
Fashion 4 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,1798.0,899,50%,3.4,41.0
Fashion Men Trousers Pants Casual Track Pants Summer Plus Size Joggers Men's Clothing,1094.0,799826,27%,3.3,22.0
Fashion 2 In 1 Men's Short Sleeve Shorts Casual Set-White,18001881.0,1050,44%,3.7,55.0
Fashion Mens Lightweight Winter Varsity Jackets Business Comfort Casual Zipper Sport - White,1851.0,1050,43%,3.8,86.0
Bluetooth Headsets Noise Cancelling Wireless Earphone BT 5.0,944.0,528,44%,3.7,63.0
Fashion 4 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags,1598.0,849,47%,,256.0
Fashion Women Shoes Ladies Shoes Sneakers Women Shoes,980.0,539599,45%,3.7,153.0
RichRipple Metal Electric Hair Clippers Rechargeable Beard Hair Trimmer Salon Hair Cutting Kit  Vs Limit Comb,999.0,539,46%,4.1,34.0
Fashion Mens Long Sleeve Shirts Casual Trendy Sweatshirts Sport-Blue,1000.0,657730,34%,3.9,235.0
GUIXIA  Tws Wireless Bluetooth Headsets Earphones Inpods12,754.0,459,39%,3.9,82.0
GUIXIA  Pro3 In-ear Wireless Bluetooth Headsets Headphones I13,754.0,459,39%,3.6,93.0
Genera Generic Portable Mini Lapel K35 Wireless Microphone Plug Play Mics For Iphone & Android,3099.0,1439,54%,3.6,25.0
Fashion Women Shoes Sandals Heels Slippers Ladies Shoes Casual Shoes,1898.0,1059,44%,3.7,142.0
Vegetable Slicer 8 Interchangeable Blades Chopper Dicer And Grater,2269.0,1494,34%,4.2,33.0
Fashion Women's WatchWatch + BraceletLeather Strap Casual Ladies Watch + Bracelet,800.0,590,26%,4.1,9.0
Fashion Mens Turtleneck Polos Formal Long Sleeve Vintage Shirts-Blue,1705.0,965,43%,,37.0
Fashion Anti Radiation And Anti Blue Light Retro Art Computer Flat Glasses,899.0,449,50%,4.1,28.0
Professional Blow Dry Hair Dryer Hot And Cold Wind + 6 Gifts 2200W,3128.0,1890,40%,3.8,28.0
RichRipple 320GB External Hard Disk USB3.0 High-speed Portable Mobile Computing Hard Drive,3490.0,1827,48%,4.3,46.0
Phone Video Tripod Handheld Stabilizer Lens Stand,813.0,455,44%,4.1,46.0
Fashion Mens Sneakers Mens Fashion Sneakers Trendy Casual Shoes Sport Sneakers,22272427.0,19002090,15%,4.3,40.0
Fashion Women's WatchWatch + BraceletLeather Strap Casual Ladies Watch + Bracelet,800.0,590,26%,4.2,10.0
Fashion Women Backpack Bag Shoulder Bags PU Leather Travel Bag-Black,1615.0,969,40%,1.7,3.0
Fashion 2024 Women's New Classic Fashion Sports Casual Shoes - Pink,11171482.0,771,48%,3.9,91.0
Mythco 4 Pack Sock Underwear Organizer Dresser Drawer Organizer,1763.0,899,49%,4.5,19.0
